state,quarter,unemployment rate,new cases,death,lockdown days,vaccination rate,GDP(USD),Personal Income
Alabama,20-q1,0.028,3022,48,0,0,"233,524.80","221,523.00"
Alabama,20-q2,0.1033,42842,1168,26,0,"211,063.60","240,127.00"
Alabama,20-q3,0.067,118269,2429,0,0,"230,033.70","227,927.00"
Alabama,20-q4,0.0467,224050,3077,0,0,"232,963.80","225,419"
Alabama,21-q1,0.0403,138350,3764,0,0.134,"237,303.00","259,488.00"
Alabama,21-q2,0.0343,26428,556,0,0.3252,"243,554.60","237,403.00"
Alabama,21-q3,0.0315,177340,1918,0,0.3835,"248,425.69","242,151.06"
Alaska,20-q1,0.0567,128,0,20,0,"53,066.20",45436
Alaska,20-q2,0.1287,816,0,21,0,"45,332.20",48456
Alaska,20-q3,0.0873,6947,43,0,0,"49,715.70",46041
Alaska,20-q4,0.06,37880,200,0,0,"51,165.80","45,788.00"
Alaska,21-q1,0.066,14767,70,0,0.223,"52,373.80","50,813.00"
Alaska,21-q2,0.0663,7841,49,0,0.4288,"54,020.30",47715
Alaska,21-q3,0.065,16218,124,0,0.4721,"55,100.71",48669.3
Arizona,20-q1,0.0503,1289,64,2,0,"383,723.30","350,283"
Arizona,20-q2,0.108,77947,1811,45,0,"348,825.50","385,259"
Arizona,20-q3,0.0777,139384,3317,0,0,"378,535.80","374,902"
Arizona,20-q4,0.078,301939,4129,0,0,"383,791.30","363,390.00"
Arizona,21-q1,0.0677,321877,6148,0,0.1707,"388,598.80","409,854.00"
Arizona,21-q2,0.0673,52439,653,0,0.4024,"400,155.70","379,522"
Arizona,21-q3,0.064,117048,1073,0,0.4788,408158.814,387112.44
Arkansas,20-q1,0.04,560,10,0,0,"134,410.50","138,922"
Arkansas,20-q2,0.095,19697,308,0,0,"121,146.10","150,394"
Arkansas,20-q3,0.0727,63440,1107,0,0,"132,589.00","141,549"
Arkansas,20-q4,0.0557,141441,2602,0,0,"134,857.20","141,727.00"
Arkansas,21-q1,0.045,105260,1841,0,0.139,"139,172.70","162,902.00"
Arkansas,21-q2,0.044,18987,299,0,0.3412,"143,438.40","149,122"
Arkansas,21-q3,0.0425,103506,1366,0,0.4152,146307.168,"152,104.44"
California,20-q1,0.0443,6932,279,13,0,"3,098,986.10","2,631,478"
California,20-q2,0.159,215985,6317,76,0,"2,812,494.60","2,801,274"
California,20-q3,0.1197,587708,9709,0,0,"3,046,248.70","2,851,417"
California,20-q4,0.087,1420927,17216,0,0,"3,071,021.40","2,769,079.00"
California,21-q1,0.086,1336874,30054,0,0.1607,"3,183,281.00","3,052,951.00"
California,21-q2,0.0797,142028,2120,0,0.4981,"3,290,169.60","2,919,391"
California,21-q3,0.0755,696123,4102,0,0.5587,3355972.992,"2,977,778.82"
Colorado,20-q1,0.034,2937,107,6,0,"395,290.40","360,736"
Colorado,20-q2,0.11,30240,1529,39,0,"357,257.10","381,071"
Colorado,20-q3,0.0683,38990,389,0,0,"385,196.80","368,152"
Colorado,20-q4,0.0707,275031,3048,0,0,"392,594.30","371,610.00"
Colorado,21-q1,0.0653,122955,1299,0,0.1751,"404,124.60","410,585.00"
Colorado,21-q2,0.0627,90171,734,0,0.5182,"416,937.10","390,046"
Colorado,21-q3,0.06,57546,528,0,0.5693,425275.842,"397,846.92"
Connecticut,20-q1,0.0363,3128,126,9,0,"284,418.30","271,832"
Connecticut,20-q2,0.0933,43386,4274,50,0,"258,045.40","285,208.00"
Connecticut,20-q3,0.087,11036,151,0,0,"278,962.80","280,637.00"
Connecticut,20-q4,0.0743,128158,1740,0,0,"284,265.20","280,773.00"
Connecticut,21-q1,0.083,125180,1754,0,0.2035,"286,975.20","303,286.00"
Connecticut,21-q2,0.079,38464,337,0,0.6065,"300,542.39","290,147"
Connecticut,21-q3,0.0725,23720,149,0,0.66,6187637.4,"295,949.94"
Delaware,20-q1,0.043,414,0,8,0,"77,067.90","53,837"
Delaware,20-q2,0.1447,11314,539,45,0,"71,627.90","57,114.00"
Delaware,20-q3,0.092,9178,86,0,0,"76,380.00","55,087.00"
Delaware,20-q4,0.0533,37941,463,0,0,"78,070.20","55,392.00"
Delaware,21-q1,0.063,37057,540,0,0.1641,"77,687.60","61,365.00"
Delaware,21-q2,0.0603,13840,137,0,0.5003,"79,281.50","57,230"
Delaware,21-q3,0.055,10108,73,0,0.5532,80867.13,"58,374.60"
District of Columbia,20-q1,0.0543,495,15,0,0,"146,251.90","58,604"
District of Columbia,20-q2,0.0973,9832,650,59,0,"138,510.90","63,205.00"
District of Columbia,20-q3,0.0857,4999,108,0,0,"145,338.40","62,966.00"
District of Columbia,20-q4,0.079,13657,231,0,0,"148,117.90","62,050"
District of Columbia,21-q1,0.081,15530,371,0,0.1381,"148,229.10","66,176"
District of Columbia,21-q2,0.0723,4842,113,0,0.5222,"151,390.10","64,435"
District of Columbia,21-q3,0.066,6076,58,0,0.573,154417.902,"65,723.70"
Florida,20-q1,0.0333,6514,191,11,0,"1,134,749.20","1,175,293"
Florida,20-q2,0.126,149705,3525,30,0,"1,035,634.00","1,246,105.00"
Florida,20-q3,0.088,541829,11790,0,0,"1,120,033.00","1,216,737.00"
Florida,20-q4,0.0627,620273,6322,0,0,"1,133,725.90","1,201,848"
Florida,21-q1,0.0473,705329,10025,0,0.1576,"1,163,188.90","1,363,364"
Florida,21-q2,0.049,310558,3658,0,0.4583,"1,198,913.10","1,280,834"
Florida,21-q3,0.0337,931764,12283,0,0.53,1222891.362,"1,306,450.68"
Georgia,20-q1,0.0447,269011,2966,0,0,"639,676.70","530,579"
Georgia,20-q2,0.0887,45610,2113,28,0,"584,177.30","578,265"
Georgia,20-q3,0.0693,235157,3674,0,0,"628,821.90","561,497"
Georgia,20-q4,0.0527,330735,3694,0,0,"637,835.40","547,925"
Georgia,21-q1,0.048,393096,6586,0,0.1226,"654,267.70","624,799"
Georgia,21-q2,0.0413,75025,1134,0,0.3659,"673,071.90","586,626"
Georgia,21-q3,0.036,269009,2966,0,0.4122,686533.338,598358.52
Hawaii,20-q1,0.026,283,0,7,0,"86,009.40","77,357"
Hawaii,20-q2,0.2023,625,16,61,0,"77,168.40","87,788.00"
Hawaii,20-q3,0.137,11572,202,0,0,"83,544.20","82,981.00"
Hawaii,20-q4,0.113,8546,137,0,0,"84,816.40","81,984"
Hawaii,21-q1,0.0947,8753,94,0,0.1896,"86,640.40","91,750"
Hawaii,21-q2,0.081,6612,47,0,0.5173,"89,660.90","85,040"
Hawaii,21-q3,0.0477,24962,169,0,0.5525,91454.118,86740.8
Idaho,20-q1,0.0267,525,10,0,0,"86,822.80","86,667"
Idaho,20-q2,0.0887,5592,88,37,0,"77,221.30","92,365.00"
Idaho,20-q3,0.0503,29249,320,0,0,"85,042.00","87,911.00"
Idaho,20-q4,0.0493,99029,1021,0,0,"86,200.20","89,368"
Idaho,21-q1,0.033,39459,454,0,0.1646,"89,142.70","101,873"
Idaho,21-q2,0.0303,14462,204,0,0.3604,"92,300.50","93,450"
Idaho,21-q3,0.0295,26391,283,0,0.3918,94146.51,95319
Illinois,20-q1,0.047,131203,960,0,0,"882,624.70","760,302"
Illinois,20-q2,0,0,0,0,0,"801,478.30","814,570.00"
Illinois,20-q3,0.0707,115645,1043,0,0,"866,988.90","799,747.00"
Illinois,20-q4,0.073,667626,8610,0,0,"882,375.60","793,923"
Illinois,21-q1,0.074,281196,4026,0,0.1649,"907,742.70","885,872"
Illinois,21-q2,0.0713,147154,1839,0,0.4617,"938,215.70","841,321"
Illinois,21-q3,0.0705,131203,960,0,0.5058,956980.014,858147.42
Indiana,20-q1,0.0307,2159,126,7,0,"386,173.60","338,781.00"
Indiana,20-q2,0.1363,43435,2575,31,0,"346,195.50","363,680.00"
Indiana,20-q3,0.0683,74425,1141,0,0,"381,518.90","349,234.00"
Indiana,20-q4,0.0497,391679,5934,0,0,"387,458.70","351,342"
Indiana,21-q1,0.0403,176239,3140,0,0.1669,"401,442.40","400,397"
Indiana,21-q2,0.04,65990,862,0,0.3991,"415,343.70","369,893"
Indiana,21-q3,0.041,104639,820,0,0.4629,423650.574,377290.86
Iowa,20-q1,0.0297,497,10,0,0,"196,663.40","162,493"
Iowa,20-q2,0.0987,28450,746,0,0,"179,924.60","176,420"
Iowa,20-q3,0.0583,59883,697,0,0,"197,094.00","167,003"
